# ----------------------------- WARNNG --------------------------------
# The data you have obtained from this automated U.S. Geological Survey
# database have not received Director's approval and as such are
# provisional and subject to revision.  The data are released on the
# condition that neither the USGS nor the United States Government may
# be held liable for any damages resulting from its use.
#
# Additional information can be obtained from the USGS at
#   http://waterdata.usgs.gov/nwis/help/?provisional
#
# retrieved: 2006-06-04 23:40:13 EDT
#
# This file consists of tab-separated columns of data for a list of sites.
# Each site is separated by a header section of comments and new column
# definitions. All column headers include the following 3 fields.
#
# column        column definition
# ------------  -----------------------------------------
# agency_cd     Agency collection or maintaining the site
# site_no       USGS site identification number
# datetime      date and time in ISO format (YYYY-mm-dd)
#
# The remaining columns vary for each site depending on which data
# parameters are selected.  The data column names use the following form
# '##_#####' where the first two number sequence uniquely defines the
# sensor (the 'data descriptor') used to collect the data and the
# following 5 number sequence defines the 'parameter_cd' which describes
# the type of data shown in the column.
#
# Data for the following stations is contained in this file
# ---------------------------------------------------------
#  USGS 01100000 MERRIMACK RIVER BL CONCORD RIVER AT LOWELL, MA
#
# Available data at this site--lines with asterix '*' are included in this output.
#    DD parameter statistic - Description
#    --   -----     -----     ------------------------------------
#   *02   00060     00003   - Discharge, cubic feet per second (Mean)
#
# Data-value qualifiers included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
#agency_cd	site_no	datetime	02_00060_00003
#5s	15s	16s	14s
USGS	01100000	1924-07-28	2260_A
USGS	01100000	1924-07-29	2260_A
USGS	01100000	1924-07-30	2100_A
USGS	01100000	1924-07-31	2030_A
USGS	01100000	1924-08-01	1890_A
USGS	01100000	1924-08-02	920_A
USGS	01100000	1924-08-03	488_A
USGS	01100000	1924-08-04	2030_A
USGS	01100000	1924-08-05	2030_A
USGS	01100000	1924-08-06	1960_A
USGS	01100000	1924-08-07	1640_A
USGS	01100000	1924-08-08	1340_A
USGS	01100000	1924-08-09	845_A
USGS	01100000	1924-08-10	422_A
USGS	01100000	1924-08-11	1960_A
USGS	01100000	1924-08-12	2340_A
USGS	01100000	1924-08-13	2340_A
USGS	01100000	1924-08-14	2260_A
USGS	01100000	1924-08-15	1530_A
USGS	01100000	1924-08-16	870_A
USGS	01100000	1924-08-17	378_A
USGS	01100000	1924-08-18	2100_A
USGS	01100000	1924-08-19	2030_A
USGS	01100000	1924-08-20	2030_A
USGS	01100000	1924-08-21	1820_A
USGS	01100000	1924-08-22	1700_A
USGS	01100000	1924-08-23	1010_A
USGS	01100000	1924-08-24	320_A
USGS	01100000	1924-08-25	2180_A
USGS	01100000	1924-08-26	2180_A
USGS	01100000	1924-08-27	2510_A
USGS	01100000	1924-08-28	2030_A
USGS	01100000	1924-08-29	2180_A
USGS	01100000	1924-08-30	1640_A
USGS	01100000	1924-08-31	1820_A
USGS	01100000	1924-09-01	1140_A
USGS	01100000	1924-09-02	2600_A
USGS	01100000	1924-09-03	2690_A
USGS	01100000	1924-09-04	2510_A
USGS	01100000	1924-09-05	2260_A
USGS	01100000	1924-09-06	2100_A
USGS	01100000	1924-09-07	2340_A
USGS	01100000	1924-09-08	3490_A
USGS	01100000	1924-09-09	3380_A
USGS	01100000	1924-09-10	4240_A
USGS	01100000	1924-09-11	11900_A
USGS	01100000	1924-09-12	15200_A
USGS	01100000	1924-09-13	9400_A
USGS	01100000	1924-09-14	5520_A
USGS	01100000	1924-09-15	4570_A
USGS	01100000	1924-09-16	3910_A
USGS	01100000	1924-09-17	3910_A
USGS	01100000	1924-09-18	3280_A
USGS	01100000	1924-09-19	3600_A
USGS	01100000	1924-09-20	2880_A
USGS	01100000	1924-09-21	1380_A
USGS	01100000	1924-09-22	3380_A
USGS	01100000	1924-09-23	2880_A
USGS	01100000	1924-09-24	2780_A
USGS	01100000	1924-09-25	2340_A
USGS	01100000	1924-09-26	2260_A
USGS	01100000	1924-09-27	1580_A
USGS	01100000	1924-09-28	1820_A
USGS	01100000	1924-09-29	2980_A
USGS	01100000	1924-09-30	2980_A
USGS	01100000	1924-10-01	3380_A
USGS	01100000	1924-10-02	10600_A
USGS	01100000	1924-10-03	6680_A
USGS	01100000	1924-10-04	4680_A
USGS	01100000	1924-10-05	3490_A
USGS	01100000	1924-10-06	3600_A
USGS	01100000	1924-10-07	3080_A
USGS	01100000	1924-10-08	3280_A
USGS	01100000	1924-10-09	3080_A
USGS	01100000	1924-10-10	2510_A
USGS	01100000	1924-10-11	2340_A
USGS	01100000	1924-10-12	1960_A
USGS	01100000	1924-10-13	1430_A
USGS	01100000	1924-10-14	2980_A
USGS	01100000	1924-10-15	2880_A
USGS	01100000	1924-10-16	2510_A
USGS	01100000	1924-10-17	2420_A
USGS	01100000	1924-10-18	1640_A
USGS	01100000	1924-10-19	795_A
USGS	01100000	1924-10-20	2510_A
USGS	01100000	1924-10-21	2420_A
USGS	01100000	1924-10-22	2340_A
USGS	01100000	1924-10-23	2340_A
USGS	01100000	1924-10-24	2340_A
USGS	01100000	1924-10-25	1220_A
USGS	01100000	1924-10-26	339_A
USGS	01100000	1924-10-27	2340_A
USGS	01100000	1924-10-28	2420_A
USGS	01100000	1924-10-29	2180_A
USGS	01100000	1924-10-30	2340_A
USGS	01100000	1924-10-31	1960_A
USGS	01100000	1924-11-01	1180_A
USGS	01100000	1924-11-02	438_A
USGS	01100000	1924-11-03	2100_A
USGS	01100000	1924-11-04	1890_A
USGS	01100000	1924-11-05	1960_A
USGS	01100000	1924-11-06	1760_A
USGS	01100000	1924-11-07	1700_A
USGS	01100000	1924-11-08	1080_A
USGS	01100000	1924-11-09	470_A
USGS	01100000	1924-11-10	1890_A
USGS	01100000	1924-11-11	1890_A
USGS	01100000	1924-11-12	1890_A
USGS	01100000	1924-11-13	2030_A
USGS	01100000	1924-11-14	1960_A
USGS	01100000	1924-11-15	1140_A
USGS	01100000	1924-11-16	378_A
USGS	01100000	1924-11-17	1890_A
USGS	01100000	1924-11-18	1890_A
USGS	01100000	1924-11-19	1960_A
USGS	01100000	1924-11-20	1820_A
USGS	01100000	1924-11-21	1640_A
USGS	01100000	1924-11-22	1040_A
USGS	01100000	1924-11-23	454_A
USGS	01100000	1924-11-24	11900_A
USGS	01100000	1924-11-25	12900_A
USGS	01100000	1924-11-26	7640_A
USGS	01100000	1924-11-27	5040_A
USGS	01100000	1924-11-28	3910_A
USGS	01100000	1924-11-29	4020_A
USGS	01100000	1924-11-30	3600_A
USGS	01100000	1924-12-01	3700_A
USGS	01100000	1924-12-02	3180_A
USGS	01100000	1924-12-03	2600_A
USGS	01100000	1924-12-04	2980_A
USGS	01100000	1924-12-05	3080_A
USGS	01100000	1924-12-06	2100_A
USGS	01100000	1924-12-07	1960_A
USGS	01100000	1924-12-08	4020_A
